,Month,Year,Holiday Gross,Holiday Releases
0,April,2019,121560823,74
1,December,2019,122595417,108
2,February,2019,152447001,86
3,January,2019,221945359,122
4,July,2019,46565065,54
5,May,2019,230819376,97
6,November,2019,262269314,58
7,October,2019,170589530,113
8,September,2019,120764144,82
0,April,2020,3675,2
1,December,2020,13148251,44
2,February,2020,182920720,78
3,January,2020,261809863,115
4,July,2020,74261,9
5,May,2020,240390,6
6,November,2020,20251599,36
7,October,2020,15051023,67
8,September,2020,19858242,25
0,April,2021,47518581,28
1,December,2021,86446421,51
2,February,2021,13132939,32
3,January,2021,17576635,43
4,July,2021,87171208,46
5,May,2021,97874228,45
6,November,2021,142082464,42
7,October,2021,138825835,68
8,September,2021,139020923,48
0,April,2022,119498996,28
1,December,2022,171109933,64
2,February,2022,111455709,51
3,January,2022,125403205,63
4,July,2022,223580059,40
5,May,2022,223364859,47
6,November,2022,134030714,37
7,October,2022,74705791,79
8,September,2022,71172772,55
0,April,2023,231916311,39
1,December,2023,183403774,77
2,February,2023,166970765,57
3,January,2023,161313013,74
4,July,2023,196321885,28
5,May,2023,203750914,61
6,November,2023,173203005,40
7,October,2023,92909357,83
8,September,2023,115070634,60
