Rank,Release Group,Worldwide,Domestic,% of Total,Foreign,% of Total
1,Barbie,1441828022,636228022.0,0.441,805600000.0,0.5589999999999999
2,The Super Mario Bros. Movie,1361939570,574934330.0,0.42200000000000004,787005240.0,0.578
3,Oppenheimer,952042355,326108355.0,0.34299999999999997,625934000.0,0.657
4,Guardians of the Galaxy Vol. 3,845555777,358995815.0,0.425,486559962.0,0.575
5,Fast X,704875015,146126015.0,0.207,558749000.0,0.7929999999999999
6,Spider-Man: Across the Spider-Verse,690516673,381311319.0,0.552,309205354.0,0.44799999999999995
7,The Little Mermaid,569626289,298172056.0,0.523,271454233.0,0.47700000000000004
8,Mission: Impossible - Dead Reckoning Part One,567535383,172135383.0,0.303,395400000.0,0.6970000000000001
9,Elemental,496326278,154426697.0,0.311,341899581.0,0.6890000000000001
10,Ant-Man and the Wasp: Quantumania,476071180,214504909.0,0.451,261566271.0,0.5489999999999999
11,Wonka,465854302,164654302.0,0.353,301200000.0,0.647
12,John Wick: Chapter 4,440146694,187131806.0,0.425,253014888.0,0.575
13,Transformers: Rise of the Beasts,438966392,157066392.0,0.358,281900000.0,0.642
14,Meg 2: The Trench,395000317,82600317.0,0.209,312400000.0,0.7909999999999999
15,Indiana Jones and the Dial of Destiny,383963057,174480468.0,0.45399999999999996,209482589.0,0.546
16,Aquaman and the Lost Kingdom,334821279,100021279.0,0.299,234800000.0,0.701
17,The Hunger Games: The Ballad of Songbirds & Snakes,328269722,163836572.0,0.499,164433150.0,0.501
18,Five Nights at Freddy's,289361620,137275620.0,0.474,152086000.0,0.526
19,Creed III,275248615,156248615.0,0.568,119000000.0,0.43200000000000005
20,The Flash,270633313,108133313.0,0.4,162500000.0,0.6
21,The Nun II,268067073,86267073.0,0.322,181800000.0,0.6779999999999999
22,Taylor Swift: The Eras Tour,250567741,179877605.0,0.718,70690136.0,0.282
23,Sound of Freedom,248219375,184178046.0,0.742,64041329.0,0.258
24,Napoleon,213404089,61204089.0,0.287,152200000.0,0.713
25,Dungeons & Dragons: Honor Among Thieves,208177026,93277026.0,0.44799999999999995,114900000.0,0.552
26,The Marvels,205873824,84500223.0,0.41,121373601.0,0.59
27,PAW Patrol: The Mighty Movie,202231360,65231360.0,0.32299999999999995,137000000.0,0.677
28,Trolls Band Together,200952335,100420335.0,0.5,100532000.0,0.5
29,The Equalizer 3,190991067,92373751.0,0.484,98617316.0,0.516
30,Insidious: The Red Door,189086877,82156962.0,0.434,106929915.0,0.5660000000000001
31,Wish,181643695,62579594.0,0.345,119064101.0,0.655
32,Teenage Mutant Ninja Turtles: Mutant Mayhem,180513586,118613586.0,0.657,61900000.0,0.34299999999999997
33,Scream VI,168961389,108161389.0,0.64,60800000.0,0.36
34,Killers of the Flower Moon,156336466,67336466.0,0.431,89000000.0,0.569
35,Migration,150708135,77820135.0,0.516,72888000.0,0.484
36,Evil Dead Rise,146733054,67233054.0,0.45799999999999996,79500000.0,0.542
37,The Boy and the Heron,137129302,39607451.0,0.289,97521851.0,0.711
38,The Exorcist: Believer,136189107,65537395.0,0.48100000000000004,70651712.0,0.519
39,Shazam! Fury of the Gods,133838006,57638006.0,0.431,76200000.0,0.569
40,Blue Beetle,129288072,72488072.0,0.561,56800000.0,0.439
41,Pathaan,128780000,17487476.0,0.136,95095974.0,0.738
42,A Haunting in Venice,122290456,42471412.0,0.34700000000000003,79819044.0,0.653
43,Gran Turismo,121927878,44428554.0,0.364,77499324.0,0.636
44,Haunted Mansion,117449790,67653287.0,0.5760000000000001,49796503.0,0.424
45,Saw X,111824112,53607898.0,0.479,58216214.0,0.521
46,Detective Conan: Black Iron Submarine,106770959,,,106770959.0,1.0
47,The Creator,104272136,40774679.0,0.391,63497457.0,0.609
48,Talk to Me,92039206,48299436.0,0.525,43739770.0,0.475
49,Air,90060106,52460106.0,0.583,37600000.0,0.41700000000000004
50,12.12: The Day,88363802,,,88363802.0,1.0
51,Cocaine Bear,88314672,64670240.0,0.732,23644432.0,0.268
52,Godzilla Minus One,88244129,49165843.0,0.557,39078286.0,0.44299999999999995
53,No Hard Feelings,87256407,50452282.0,0.578,36804125.0,0.42200000000000004
54,The Roundup: No Way Out,83410298,909411.0,0.011000000000000001,82500887.0,0.9890000000000001
55,The Pope's Exorcist,76987621,20009380.0,0.26,56978241.0,0.74
56,Plane,74515586,32111181.0,0.431,42404405.0,0.569
57,Titanic 25 Year Anniversary,70157472,15033795.0,0.214,55123677.0,0.7859999999999999
58,The Boogeyman,67307243,43244282.0,0.642,24062961.0,0.358
59,Frozen 2023 Re-release (Sing -A-Long),62846398,,,62846398.0,1.0
60,65,60730568,32062904.0,0.528,28667664.0,0.47200000000000003
61,Anyone But You,58413644,43713644.0,0.748,14700000.0,0.252
62,Magic Mike's Last Dance,57105156,26005156.0,0.455,31100000.0,0.545
63,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,56119404,10117806.0,0.18,46001598.0,0.82
64,Knock at the Cabin,54760947,35397980.0,0.6459999999999999,19362967.0,0.354
65,The Color Purple,54621433,54621433.0,1.0,,
66,Mummies,54375970,4275970.0,0.079,50100000.0,0.9209999999999999
67,Jesus Revolution,54295801,52102987.0,0.96,2192814.0,0.04
68,Asteroid City,53849809,28153025.0,0.523,25696784.0,0.47700000000000004
69,Operation Fortune: Ruse de Guerre,49091651,6496125.0,0.132,42595526.0,0.868
70,Missing,48767848,32502025.0,0.6659999999999999,16265823.0,0.33399999999999996
71,Asterix & Obelix: The Middle Kingdom,46497678,,,46497678.0,1.0
72,Ruby Gillman: Teenage Kraken,45521431,15753600.0,0.34600000000000003,29767831.0,0.654
73,Thanksgiving,44136742,31813544.0,0.721,12323198.0,0.27899999999999997
74,Renaissance: A Film by Beyoncé,43643425,33543425.0,0.769,10100000.0,0.231
75,80 for Brady,40362938,39330588.0,0.9740000000000001,1032350.0,0.026000000000000002
76,"Miraculous: Ladybug & Cat Noir, the Movie",39347134,,,39347134.0,1.0
77,My Big Fat Greek Wedding 3,38822331,28496030.0,0.7340000000000001,10326301.0,0.266
78,Expend4bles,37917985,16710153.0,0.441,21207832.0,0.5589999999999999
79,Doraemon the Movie: Nobita's Sky Utopia,37475850,,,37475850.0,1.0
80,Smugglers,36839258,,,36839258.0,1.0
81,There's Still Tomorrow,36378366,,,36378366.0,1.0
82,Kingdom 3,36259522,,,36259522.0,1.0
83,Ride On,36258730,128950.0,0.004,36129780.0,0.996
84,Strays,36024487,23988885.0,0.6659999999999999,12035602.0,0.33399999999999996
85,Alibi.com 2,34117969,,,34117969.0,1.0
86,The Boys in the Boat,33903373,33903373.0,1.0,,
87,Don't Call it Mystery: The Movie,32488540,,,32488540.0,1.0
88,The Three Musketeers - Part I: D'Artagnan,31779133,,,31779133.0,1.0
89,Tokyo MER,30226383,,,30226383.0,1.0
90,BTS: Yet to Come in Cinemas,29291883,8093270.0,0.276,21198613.0,0.7240000000000001
91,Book Club: The Next Chapter,29013473,17581565.0,0.606,11431908.0,0.39399999999999996
92,Concrete Utopia,28859372,,,28859372.0,1.0
93,Jawan,28499044,15198530.0,0.5329999999999999,13300514.0,0.467
94,Interstellar 2023 Re-release,27970920,,,27970920.0,1.0
95,Toy Story 2023 Re-release,27503758,,,27503758.0,1.0
96,The Wish of the Fairy Fish,26903730,,,26903730.0,1.0
97,Renfield,26493921,17297895.0,0.653,9196026.0,0.34700000000000003
98,Noryang: Deadly Sea,26053495,81505.0,0.003,25971990.0,0.997
99,Gravity 2023 Re-release (10th Anniversary),24981634,,,24981634.0,1.0
100,Animal,24542734,13647140.0,0.556,10895594.0,0.444
101,The Iron Claw,24336609,24336609.0,1.0,,
102,The Challenge,23404037,,,23404037.0,1.0
103,Ferrari,23366028,16005459.0,0.685,7360569.0,0.315
104,The Dark Knight 2023 Re-release,22011318,,,22011318.0,1.0
105,The Last Voyage of the Demeter,21786169,13637180.0,0.626,8148989.0,0.374
106,The Covenant,21632392,16938039.0,0.7829999999999999,4694353.0,0.217
107,Past Lives,21548356,10923569.0,0.507,10624787.0,0.493
108,Anatomy of a Fall,21518688,3778449.0,0.17600000000000002,17740239.0,0.8240000000000001
109,"Are You There God? It's Me, Margaret.",21464043,20372406.0,0.9490000000000001,1091637.0,0.051
110,Priscilla,21321977,20864910.0,0.9790000000000001,457067.0,0.021
111,Shin Jigen! Crayon Shin-chan the Movie,21128177,,,21128177.0,1.0
112,Radical,20873605,8665790.0,0.415,12207815.0,0.585
113,The Holdovers,20694790,18465790.0,0.892,2229000.0,0.10800000000000001
114,Dumb Money,20522936,13925356.0,0.679,6597580.0,0.321
115,Saltburn,20330447,11343756.0,0.5579999999999999,8986691.0,0.442
116,My Happy Marriage,19506407,,,19506407.0,1.0
117,The House of No Man,19490980,,,19490980.0,1.0
118,Champions,19156273,16397335.0,0.856,2758938.0,0.14400000000000002
119,Retribution,18685751,6937696.0,0.371,11748055.0,0.629
120,IDOLiSH7 Movie: LIVE 4bit - BEYOND THE PERiOD,18570915,,,18570915.0,1.0
121,Love Reset,18424732,,,18424732.0,1.0
122,The Blackening,18169453,17707207.0,0.975,462246.0,0.025
123,About My Father,18167819,12089391.0,0.665,6078428.0,0.335
124,Mavka: The Forest Song,17865431,,,17865431.0,1.0
125,The Blind,17265487,17265487.0,1.0,,
126,Tokyo Revengers 2: Bloody Halloween - Destiny,17216567,,,17216567.0,1.0
127,The Legend & Butterfly,16087771,,,16087771.0,1.0
128,Hypnotic,16011297,4500169.0,0.281,11511128.0,0.7190000000000001
129,Die drei ??? - Erbe des Drachen,15860016,,,15860016.0,1.0
130,Shin Kamen Rider,15787771,,,15787771.0,1.0
131,Joy Ride,15787674,12897789.0,0.8170000000000001,2889885.0,0.183
132,Poor Things,15212602,14227242.0,0.935,985360.0,0.065
133,3 jours max,14937121,,,14937121.0,1.0
134,A Guilty Conscience,14914575,,,14914575.0,1.0
135,Tokyo Revengers 2: Bloody Halloween - Decisive Battle,14584970,,,14584970.0,1.0
136,Dr. Cheon and Lost Talisman,14574445,84362.0,0.006,14490083.0,0.9940000000000001
137,Epic Tails,14499622,,,14499622.0,1.0
138,Sisu,14281199,7265622.0,0.509,7015577.0,0.491
139,Rehragout-Rendezvous,14127069,,,14127069.0,1.0
140,Dunki,14101299,7460159.0,0.529,6641140.0,0.47100000000000003
141,His Only Son,13819781,12392740.0,0.897,1427041.0,0.10300000000000001
142,Jeanne du Barry,13603714,,,13603714.0,1.0
143,The Point Men,13433834,,,13433834.0,1.0
144,The Three Musketeers - Part II: Milady,13330202,,,13330202.0,1.0
145,Championext,13094271,,,13094271.0,1.0
146,"Manta, Manta: Legacy",13078126,,,13078126.0,1.0
147,Tonde Saitama: Biwako Yori Ai o Komete,13011922,,,13011922.0,1.0
148,Bottoms,12947740,12036071.0,0.93,911669.0,0.07
149,Love Again,12696584,6230837.0,0.491,6465747.0,0.509
150,The Shift,12038996,12018088.0,0.998,20908.0,0.002
151,Tiger 3,11713932,5365263.0,0.45799999999999996,6348669.0,0.542
152,Face Off 6: The Ticket of Destiny,11538081,,,11538081.0,1.0
153,Kitarô Tanjô: Gegege no Nazo,11482637,,,11482637.0,1.0
154,Beau Is Afraid,11480078,8176562.0,0.7120000000000001,3303516.0,0.28800000000000003
155,After Death,11477746,11477746.0,1.0,,
156,Salaar,11214156,8447827.0,0.753,2766329.0,0.247
157,I Wish I Could Meet You Again on the Hill Where That Flower Blooms (2023),11131471,,,11131471.0,1.0
158,What's Love Got to Do with It?,11108409,,,11108409.0,1.0
159,Silent Night,10991375,8012103.0,0.7290000000000001,2979272.0,0.271
160,Samurai Beyond Admiration Record to the World's Best,10876188,,,10876188.0,1.0
161,Honey Sweet,10765835,,,10765835.0,1.0
162,The Machine,10664328,10458331.0,0.981,205997.0,0.019
163,After Everything,10641434,,,10641434.0,1.0
164,Next Goal Wins,10518338,6713826.0,0.638,3804512.0,0.36200000000000004
165,The Nightmare Before Christmas 30th Anniversary Re-Release,10431631,10251956.0,0.983,179675.0,0.017
166,Sleep,10392498,,,10392498.0,1.0
167,The Crime Is Mine,10300053,34282.0,0.003,10265771.0,0.997
168,Sun and Concrete,10119958,,,10119958.0,1.0
169,Ocho apellidos marroquís,9804743,,,9804743.0,1.0
170,The Lord of the Rings: The Return of the King 2023 Re-release (20th Anniversary),9736432,1176085.0,0.121,8560347.0,0.879
171,Talk to Her Undated France Release,9549770,,,9549770.0,1.0
172,The Peasants,9483336,,,9483336.0,1.0
173,Kandahar,9387311,4813132.0,0.513,4574179.0,0.48700000000000004
174,House Party,9284647,9002247.0,0.97,282400.0,0.03
175,Freelance,9109930,5314136.0,0.583,3795794.0,0.41700000000000004
176,All Your Faces,9056053,,,9056053.0,1.0
177,The Wandering Earth II,8854786,5023132.0,0.5670000000000001,3831654.0,0.433
178,Father & Soldier,8598322,,,8598322.0,1.0
179,PreCure All Stars F,8519569,,,8519569.0,1.0
180,Dream,8317251,,,8317251.0,1.0
181,Vacaciones de verano,8209854,,,8209854.0,1.0
182,Weekend Rebels,8184539,,,8184539.0,1.0
183,On the Wandering Paths,8174394,,,8174394.0,1.0
184,The Animal Kingdom,8156916,,,8156916.0,1.0
185,Ransomed,8101634,142101.0,0.018000000000000002,7959533.0,0.982
186,Cats in the Museum,8085540,,,8085540.0,1.0
187,Cobweb,8052602,,,8052602.0,1.0
188,Checker Tobi und die Reise zu den fliegenden Flüssen,7953344,,,7953344.0,1.0
189,The Silent Service,7836539,,,7836539.0,1.0
190,The Hill,7665865,7665865.0,1.0,,
191,The Jungle Bunch 2: World Tour,7646526,,,7646526.0,1.0
192,Analog,7586455,,,7586455.0,1.0
193,Second Tour,7466699,,,7466699.0,1.0
194,Journey to Bethlehem,7404067,6820796.0,0.9209999999999999,583271.0,0.079
195,Ichikei's Crow,7377092,,,7377092.0,1.0
196,Dream Scenario,7305466,5637546.0,0.772,1667920.0,0.228
197,Star Wars: Episode VI - Return of the Jedi 2023 Re-release,7259924,7259924.0,1.0,,
198,It Lives Inside,7223206,4675092.0,0.647,2548114.0,0.353
199,Road to Boston,7196843,,,7196843.0,1.0
200,Coraline 2023 Re-release (remastered),7149366,7149366.0,1.0,,
