Rank,Title,Lifetime Gross,Year
1,Star Wars: Episode VII - The Force Awakens,936662225,2015
2,Avengers: Endgame,858373000,2019
3,Spider-Man: No Way Home,814115070,2021
4,Avatar,785221649,2009
5,Top Gun: Maverick,718732821,2022
6,Black Panther,700426566,2018
7,Avatar: The Way of Water,684075767,2022
8,Avengers: Infinity War,678815482,2018
9,Titanic,674292608,1997
10,Jurassic World,653406625,2015
11,Barbie,636228022,2023
12,The Avengers,623357910,2012
13,Star Wars: Episode VIII - The Last Jedi,620181382,2017
14,Incredibles 2,608581744,2018
15,The Super Mario Bros. Movie,574934330,2023
16,The Lion King,543638043,2019
17,The Dark Knight,534987076,2008
18,Rogue One: A Star Wars Story,533539991,2016
19,Star Wars: Episode IX - The Rise of Skywalker,515202542,2019
20,Beauty and the Beast,504481165,2017
21,Finding Dory,486295561,2016
22,Frozen II,477373578,2019
23,Star Wars: Episode I - The Phantom Menace,474544677,1999
24,Star Wars: Episode IV - A New Hope,460998507,1977
25,Avengers: Age of Ultron,459005868,2015
26,Black Panther: Wakanda Forever,453829060,2022
27,The Dark Knight Rises,448149584,2012
28,Shrek 2,441426807,2004
29,E.T. the Extra-Terrestrial,437345144,1982
30,Toy Story 4,434038008,2019
31,Captain Marvel,426829839,2019
32,The Hunger Games: Catching Fire,424668047,2013
33,Pirates of the Caribbean: Dead Man's Chest,423315812,2006
34,The Lion King,422783777,1994
35,Jurassic World: Fallen Kingdom,417719760,2018
36,Toy Story 3,415004880,2010
37,Wonder Woman,412845172,2017
38,Doctor Strange in the Multiverse of Madness,411331607,2022
39,Iron Man 3,409013994,2013
40,Captain America: Civil War,408084349,2016
41,The Hunger Games,408010692,2012
42,Jurassic Park,407185075,1993
43,Spider-Man,407022860,2002
44,Jumanji: Welcome to the Jungle,404540171,2017
45,Transformers: Revenge of the Fallen,402111870,2009
46,Frozen,400953009,2013
47,Spider-Man: Far from Home,390532085,2019
48,Guardians of the Galaxy Vol. 2,389813101,2017
49,Harry Potter and the Deathly Hallows: Part 2,381447587,2011
50,Spider-Man: Across the Spider-Verse,381311319,2023
51,Finding Nemo,380843261,2003
52,Star Wars: Episode III - Revenge of the Sith,380270577,2005
53,The Lord of the Rings: The Return of the King,379427292,2003
54,Jurassic World Dominion,376851080,2022
55,Spider-Man 2,373585825,2004
56,The Passion of the Christ,370782930,2004
57,Minions: The Rise of Gru,370270765,2022
58,The Batman,369345583,2022
59,The Secret Life of Pets,368623860,2016
60,Despicable Me 2,368065385,2013
61,The Jungle Book,364001123,2016
62,Deadpool,363070709,2016
63,Guardians of the Galaxy Vol. 3,358995815,2023
64,Inside Out,356921711,2015
65,Aladdin,355559216,2019
66,Furious 7,353007020,2015
67,Transformers: Dark of the Moon,352390543,2011
68,American Sniper,350159020,2014
69,Thor: Love and Thunder,343256830,2022
70,The Lord of the Rings: The Two Towers,342952511,2002
71,Zootopia,341268248,2016
72,The Hunger Games: Mockingjay - Part 1,337135885,2014
73,Spider-Man 3,336530303,2007
74,Minions,336045770,2015
75,Joker,335477657,2019
76,Aquaman,335104314,2018
77,Spider-Man: Homecoming,334201140,2017
78,Alice in Wonderland,334191110,2010
79,Guardians of the Galaxy,333718600,2014
80,Forrest Gump,330455270,1994
81,Batman v Superman: Dawn of Justice,330360194,2016
82,It,328874981,2017
83,Oppenheimer,326108355,2023
84,Suicide Squad,325100054,2016
85,Deadpool 2,324591735,2018
86,Shrek the Third,322719944,2007
87,Jumanji: The Next Level,320314960,2019
88,Transformers,319246193,2007
89,Iron Man,319034126,2008
90,Harry Potter and the Sorcerer's Stone,318886962,2001
91,Indiana Jones and the Kingdom of the Crystal Skull,317101119,2008
