,Title,Rank,Lifetime Gross,Overall Rank,Year
0,Star Wars: Episode VII - The Force Awakens,1,936662225,1,2015
1,Avengers: Endgame,2,858373000,2,2019
2,Spider-Man: No Way Home,3,814115070,3,2021
3,Avatar,4,785221649,4,2009
4,Top Gun: Maverick,5,718732821,5,2022
5,Black Panther,6,700426566,6,2018
6,Avatar: The Way of Water,7,684075767,7,2022
7,Avengers: Infinity War,8,678815482,8,2018
8,Titanic,9,674292608,9,1997
9,Jurassic World,10,653406625,10,2015
10,Barbie,11,636218186,11,2023
11,The Avengers,12,623357910,12,2012
12,Star Wars: Episode VIII - The Last Jedi,13,620181382,13,2017
13,The Dark Knight,14,534987076,17,2008
14,Rogue One: A Star Wars Story,15,533539991,18,2016
15,Star Wars: Episode IX - The Rise of Skywalker,16,515202542,19,2019
16,Avengers: Age of Ultron,17,459005868,25,2015
17,Black Panther: Wakanda Forever,18,453829060,26,2022
18,The Dark Knight Rises,19,448149584,27,2012
19,Captain Marvel,20,426829839,31,2019
20,The Hunger Games: Catching Fire,21,424668047,32,2013
21,Pirates of the Caribbean: Dead Man's Chest,22,423315812,33,2006
22,Jurassic World: Fallen Kingdom,23,417719760,35,2018
23,Wonder Woman,24,412845172,37,2017
24,Doctor Strange in the Multiverse of Madness,25,411331607,38,2022
25,Iron Man 3,26,409013994,39,2013
26,Captain America: Civil War,27,408084349,40,2016
27,The Hunger Games,28,408010692,41,2012
28,Jurassic Park,29,407185075,42,1993
29,Spider-Man,30,407022860,43,2002
30,Jumanji: Welcome to the Jungle,31,404540171,44,2017
31,Transformers: Revenge of the Fallen,32,402111870,45,2009
32,Spider-Man: Far from Home,33,390532085,47,2019
33,Guardians of the Galaxy Vol. 2,34,389813101,48,2017
34,Harry Potter and the Deathly Hallows: Part 2,35,381447587,49,2011
35,Star Wars: Episode III - Revenge of the Sith,36,380270577,52,2005
36,The Lord of the Rings: The Return of the King,37,379427292,53,2003
37,Jurassic World Dominion,38,376851080,54,2022
38,Spider-Man 2,39,373585825,55,2004
39,The Batman,40,369345583,58,2022
40,Guardians of the Galaxy Vol. 3,41,358995815,63,2023
41,Furious 7,42,353007020,66,2015
42,Transformers: Dark of the Moon,43,352390543,67,2011
43,Thor: Love and Thunder,44,343256830,69,2022
44,The Lord of the Rings: The Two Towers,45,342952511,70,2002
45,The Hunger Games: Mockingjay - Part 1,46,337135885,72,2014
46,Spider-Man 3,47,336530303,73,2007
