,Rank,Release,Gross,Theaters,Total Gross,Distributor
0,1,Barbie,636218186,4337.0,636218186,Warner Bros.
1,2,The Super Mario Bros. Movie,574934330,4371.0,574934330,Universal Pictures
2,3,Spider-Man: Across the Spider-Verse,381311319,4332.0,381311319,Columbia Pictures
3,4,Guardians of the Galaxy Vol. 3,358995815,4450.0,358995815,Walt Disney Studios Motion Pictures
4,5,Oppenheimer,326067790,3761.0,326067790,Universal Pictures
5,6,The Little Mermaid,298172056,4320.0,298172056,Walt Disney Studios Motion Pictures
6,7,Avatar: The Way of Water,283067859,4340.0,684075767,20th Century Studios
7,8,Ant-Man and the Wasp: Quantumania,214504909,4345.0,214504909,Walt Disney Studios Motion Pictures
8,9,John Wick: Chapter 4,187131806,3855.0,187131806,Lions Gate Films
9,10,Sound of Freedom,184177725,3411.0,184178046,Angel Studios
10,11,Taylor Swift: The Eras Tour,179212969,3855.0,179228338,-
11,12,Indiana Jones and the Dial of Destiny,174480468,4600.0,174480468,Walt Disney Studios Motion Pictures
12,13,Mission: Impossible - Dead Reckoning Part One,172135383,4327.0,172135383,Paramount Pictures
13,14,Transformers: Rise of the Beasts,157066392,3680.0,157066392,Paramount Pictures
14,15,Creed III,156248615,4007.0,156248615,United Artists Releasing
15,16,Elemental,154426697,4035.0,154426697,Walt Disney Studios Motion Pictures
16,17,The Hunger Games: The Ballad of Songbirds & Snakes,146173590,3776.0,146173590,Lions Gate Films
17,18,Fast X,145960660,4088.0,145960660,Universal Pictures
18,19,Five Nights at Freddy's,137265805,3789.0,137265805,Universal Pictures International (UPI)
19,20,Puss in Boots: The Last Wish,129870190,4121.0,185535345,Universal Pictures
20,21,Teenage Mutant Ninja Turtles: Mutant Mayhem,118613586,3950.0,118613586,Paramount Pictures
21,22,Scream VI,108161389,3676.0,108161389,Paramount Pictures
22,23,The Flash,108133313,4256.0,108133313,Warner Bros.
23,24,M3GAN,95043350,3628.0,95043350,Universal Pictures
24,25,Dungeons & Dragons: Honor Among Thieves,93277026,3856.0,93277026,Paramount Pictures
25,26,The Equalizer 3,92373751,3965.0,92373751,Columbia Pictures
26,27,Trolls Band Together,88703980,3893.0,89873980,Universal Pictures
27,28,The Nun II,86267073,3743.0,86267073,Warner Bros.
28,29,The Marvels,84211874,4030.0,84211874,Walt Disney Studios Motion Pictures
29,30,Meg 2: The Trench,82600317,3604.0,82600317,Warner Bros.
30,31,Insidious: The Red Door,82156962,3188.0,82156962,Screen Gems
31,32,Blue Beetle,72488072,3871.0,72488072,Warner Bros.
32,33,Haunted Mansion,67653287,3740.0,67653287,Walt Disney Studios Motion Pictures
33,34,Evil Dead Rise,67233054,3417.0,67233054,Warner Bros.
34,35,Killers of the Flower Moon,67155829,3786.0,67155829,Paramount Pictures
35,36,The Exorcist: Believer,65537395,3684.0,65537395,Universal Pictures
36,37,PAW Patrol: The Mighty Movie,65231360,4027.0,65231360,Paramount Pictures
37,38,Cocaine Bear,64388510,3571.0,64388510,Universal Pictures
38,39,A Man Called Otto,64228358,3957.0,64267657,Columbia Pictures
39,40,Napoleon,57800027,3500.0,57800027,Columbia Pictures
40,41,Shazam! Fury of the Gods,57638006,4071.0,57638006,Warner Bros.
41,42,Wish,55264432,3900.0,55264432,Walt Disney Studios Motion Pictures
42,43,Saw X,53607898,3262.0,53607898,Lions Gate Films
43,44,Air,52460106,3507.0,52460106,-
44,45,Jesus Revolution,52102987,2575.0,52102987,Lions Gate Films
45,46,No Hard Feelings,50452282,3208.0,50452282,Sony Pictures Entertainment (SPE)
46,47,Wonka,48913301,4203.0,48913301,Warner Bros.
47,48,Talk to Me,48299436,2379.0,48299436,A24
48,49,Gran Turismo,44428554,3856.0,44428554,Sony Pictures Entertainment (SPE)
49,50,The Boogeyman,43244282,3205.0,43244282,Walt Disney Studios Motion Pictures
50,51,A Haunting in Venice,42471412,3305.0,42471412,Walt Disney Studios Motion Pictures
51,52,The Creator,40774679,3680.0,40774679,Walt Disney Studios Motion Pictures
52,53,80 for Brady,39330588,3939.0,39330588,Paramount Pictures
53,54,Godzilla Minus One,36055769,2622.0,36055769,-
54,55,Knock at the Cabin,35397980,3657.0,35397980,Universal Pictures
55,56,Missing,32502025,3025.0,32502025,Sony Pictures Entertainment (SPE)
56,57,Plane,32111181,3060.0,32111181,Lions Gate Films
57,58,65,32062904,3405.0,32062904,Sony Pictures Entertainment (SPE)
58,59,Thanksgiving,31587562,3204.0,31587562,TriStar Pictures
59,60,Renaissance: A Film by Beyoncé,30804269,2542.0,30804269,-
60,61,My Big Fat Greek Wedding 3,28496030,3678.0,28496030,Focus Features
61,62,Asteroid City,28153025,1901.0,28153025,Focus Features
62,63,Magic Mike's Last Dance,26005156,3034.0,26005156,Warner Bros.
63,64,The Boy and the Heron,25448788,2325.0,25448788,GKIDS
64,65,Strays,23988885,3232.0,23988885,Universal Pictures
65,66,Priscilla,20817953,2361.0,20817953,A24
66,67,"Are You There God? It's Me, Margaret.",20372406,3343.0,20372406,Lions Gate Films
67,68,The Pope's Exorcist,20009380,3178.0,20009380,Screen Gems
68,69,The Blackening,17707207,1775.0,17707207,Lions Gate Films
69,70,Book Club: The Next Chapter,17556340,3513.0,17556340,Focus Features
70,71,Pathaan,17487476,697.0,17487476,Yash Raj Films USA Inc.
71,72,The Holdovers,17349730,1601.0,17349730,Focus Features
72,73,Black Panther: Wakanda Forever,17329414,4396.0,453829060,Walt Disney Studios Motion Pictures
73,74,The Blind,17265487,1715.0,17265487,Fathom Events
74,75,Renfield,17152625,3378.0,17152625,Universal Pictures
75,76,The Covenant,16938039,2631.0,16938039,Metro-Goldwyn-Mayer (MGM)
76,77,Expend4bles,16710153,3518.0,16710153,Lions Gate Films
77,78,Champions,16271910,3039.0,16271910,Focus Features
78,79,Ruby Gillman: Teenage Kraken,15753600,3408.0,15753600,DreamWorks
79,80,Jawan,15198530,826.0,15198530,Yash Raj Films USA Inc.
80,81,Titanic25 Year Anniversary,15033795,2464.0,15033795,Paramount Pictures
81,82,Dumb Money,13925356,2837.0,13925356,Sony Pictures Entertainment (SPE)
82,83,Animal,13647140,698.0,13647140,-
83,84,The Last Voyage of the Demeter,13637180,2715.0,13637180,Universal Pictures
84,85,Joy Ride,12897789,2820.0,12897789,Lions Gate Films
85,86,His Only Son,12392740,1930.0,12392740,Angel Studios
86,87,The Whale,12269350,1721.0,17463630,A24
87,88,About My Father,12089391,2464.0,12089391,Lions Gate Films
88,89,Bottoms,12036071,1265.0,12036071,Orion Pictures
89,90,After Death,11476750,2730.0,11476750,Angel Studios
90,91,The Shift,11078261,2450.0,11078261,Angel Studios
91,92,Suzume,10932037,2170.0,10932037,Crunchyroll
92,93,Past Lives,10923569,906.0,10923569,A24
93,94,Saltburn,10520419,1566.0,10520419,Warner Bros.
94,95,The Machine,10458331,2409.0,10458331,Sony Pictures Entertainment (SPE)
95,96,Whitney Houston: I Wanna Dance with Somebody,10451167,3625.0,23708080,TriStar Pictures
96,97,The Nightmare Before Christmas30th Anniversary Re-Release,10251956,2185.0,10251956,Walt Disney Studios Motion Pictures
97,98,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,10117806,1774.0,10117806,Crunchyroll
98,99,House Party,9002247,1400.0,9002247,Warner Bros.
99,100,Radical,8567570,534.0,8567570,Pantelion Films
100,101,Everything Everywhere All at Once,8410284,2220.0,77191785,A24
101,102,Beau Is Afraid,7740323,2125.0,8176562,A24
102,103,The Hill,7665865,1703.0,7665865,Briarcliff Entertainment
103,104,Silent Night,7425396,1873.0,7425396,Lions Gate Films
104,105,Sisu,7265622,1006.0,7265622,Lions Gate Films
105,106,Star Wars: Episode VI - Return of the Jedi2023 Re-release,7259924,475.0,7259924,-
106,107,Coraline2023 Re-release (remastered),7149366,1469.0,7149366,-
107,108,Retribution,6937696,1750.0,6937696,Roadside Attractions
108,109,Next Goal Wins,6704689,2240.0,6704689,Searchlight Pictures
109,110,Journey to Bethlehem,6697626,2002.0,6697626,Affirm Films
110,111,Operation Fortune: Ruse de Guerre,6496125,2168.0,6496125,Lions Gate Films
111,112,BTS: Yet to Come in Cinemas,6350496,1210.0,8093270,Trafalgar Releasing
112,113,Babylon,6268558,3351.0,15351455,Paramount Pictures
113,114,Love Again,6230837,2703.0,6230837,Screen Gems
114,115,The Fabelmans,5541550,1962.0,17348945,Universal Pictures
115,116,The Chosen Season 3 Finale,5525069,1979.0,5525069,Fathom Events
116,117,Dream Scenario,5434594,1578.0,5296770,A24
117,118,Nefarious,5433685,933.0,5433685,Soli Deo Gloria Releasing
118,119,Big George Foreman,5426772,3054.0,5426772,Sony Pictures Entertainment (SPE)
119,120,Tiger 3,5365263,779.0,5365263,Yash Raj Films USA Inc.
120,121,Women Talking,5321627,707.0,5456531,United Artists Releasing
121,122,Freelance,5314136,2057.0,5314136,Relativity Media
122,123,Waitress: The Musical,5153114,1214.0,5153114,Bleecker Street Media
123,124,Infinity Pool,5078400,1835.0,5078400,Neon
